"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"RIO DE JANEIRO","CAMPOS DOS GOYTACAZES","2298317","Urbano","1",4822,0.057445043550394,0.0746578183326421,0.321650767316466,0.55,0.716,"4"
"RIO DE JANEIRO","CAMPOS DOS GOYTACAZES","3315916","Urbano","0",860,0.0569767441860465,0.036046511627907,0.036046511627907,0.55,0.716,"2"
"RIO DE JANEIRO","CAMPOS DOS GOYTACAZES","5108969","Urbano","0",630,0.0301587301587302,0.142857142857143,0.0301587301587302,0.55,0.716,"1"
"RIO DE JANEIRO","CANTAGALO","2267713","Urbano","1",484,0.0537190082644628,0.00206611570247934,0.0971074380165289,0.48,0.709,"2"
"RIO DE JANEIRO","CARMO","2272601","Urbano","1",408,0.0245098039215686,0.00490196078431373,0.159313725490196,0.47,0.696,"2"
"RIO DE JANEIRO","CASIMIRO DE ABREU","2280396","Urbano","1",531,0.0470809792843691,0.0546139359698682,0.190207156308851,0.48,0.726,"2"
"RIO DE JANEIRO","CORDEIRO","9491619","Urbano","1",100,0.02,0.01,0.17,0.48,0.729,"2"
"RIO DE JANEIRO","DUAS BARRAS","2267810","Rural","1",98,0.0714285714285714,0.0612244897959184,0.275510204081633,0.44,0.659,"2"
"RIO DE JANEIRO","DUQUE DE CAXIAS","155055","Urbano","1",2940,0.0108843537414966,0.00272108843537415,0.293877551020408,0.46,0.711,"2"
"RIO DE JANEIRO","DUQUE DE CAXIAS","2290227","Urbano","1",2781,0.129449838187702,0.111111111111111,0.439410284070478,0.46,0.711,"4"
"RIO DE JANEIRO","DUQUE DE CAXIAS","3014673","Urbano","0",856,0.0280373831775701,0.0514018691588785,0.0292056074766355,0.46,0.711,"2"
"RIO DE JANEIRO","DUQUE DE CAXIAS","3014681","Urbano","0",212,0.0471698113207547,0.0660377358490566,0.117924528301887,0.46,0.711,"2"
"RIO DE JANEIRO","DUQUE DE CAXIAS","6007317","Urbano","1",2345,0.0174840085287846,0.00298507462686567,0.404690831556503,0.46,0.711,"2"
"RIO DE JANEIRO","DUQUE DE CAXIAS","7244339","Urbano","0",909,0.0286028602860286,0.0913091309130913,0.0781078107810781,0.46,0.711,"2"
"RIO DE JANEIRO","GUAPIMIRIM","6146376","Urbano","1",363,0.0110192837465565,0.00550964187327824,0.192837465564738,0.5,0.698,"2"
"RIO DE JANEIRO","ITABORAI","2268922","Urbano","1",1230,0.0178861788617886,0.0040650406504065,0.342276422764228,0.48,0.693,"2"
"RIO DE JANEIRO","ITAGUAI","2284634","Urbano","1",928,0.0571120689655172,0.0118534482758621,0.366379310344828,0.47,0.715,"2"
"RIO DE JANEIRO","ITAOCARA","2295016","Inter.","0",156,0.0769230769230769,0.00641025641025641,0.102564102564103,0.49,0.713,"2"
"RIO DE JANEIRO","ITAPERUNA","2278855","Urbano","1",1544,0.0841968911917098,0.0297927461139896,0.161269430051813,0.47,0.73,"2"
"RIO DE JANEIRO","ITATIAIA","2288230","Urbano","1",176,0.0511363636363636,0.0454545454545455,0.0738636363636364,0.51,0.737,"2"
"RIO DE JANEIRO","LAJE DO MURIAE","2290499","Rural","1",79,0.0632911392405063,0.0759493670886076,0.215189873417722,0.46,0.668,"2"
"RIO DE JANEIRO","MACAE","2697041","Urbano","1",601,0.00831946755407654,0.00166389351081531,0.0199667221297837,0.56,0.764,"2"
"RIO DE JANEIRO","MACAE","3978044","Urbano","0",328,0.024390243902439,0.0609756097560976,0.0365853658536585,0.56,0.764,"1"
"RIO DE JANEIRO","MACAE","5106702","Urbano","0",746,0.0214477211796247,0.0281501340482574,0.0563002680965147,0.56,0.764,"2"
"RIO DE JANEIRO","MACAE","5412447","Urbano","1",2535,0.0497041420118343,0.0591715976331361,0.199211045364892,0.56,0.764,"4"
"RIO DE JANEIRO","MAGE","2278324","Urbano","1",1946,0.0143884892086331,0.00462487153134635,0.292394655704008,0.49,0.709,"2"
